budget,revenue,popularity,runtime,vote_average,vote_count
125.0,752.100229,206.227151,123.0,6.6,5584.0
125.0,767.820459,45.313197,149.0,6.5,2704.0
103.0,500.188435,42.40024,102.0,6.3,978.0
110.0,407.711549,2.871739,133.0,6.8,3506.0
125.0,626.137675,7.255718,130.0,7.1,2438.0
125.0,334.615,81.499621,129.0,7.0,3886.0
125.0,232.713139,47.686442,106.0,5.6,2233.0
65.0,261.317921,43.129703,113.0,7.1,1710.0
160.0,61.698899,27.220157,102.0,6.4,510.0
130.0,276.572938,90.33681,120.0,6.0,2651.0
125.0,238.207122,50.073575,125.0,4.2,1418.0
123.0,345.141403,45.419668,104.0,6.2,1386.0
125.0,544.272402,41.380094,124.0,6.2,2392.0
125.0,546.388105,54.931334,123.0,5.9,1928.0
120.0,325.756637,25.752118,130.0,6.2,597.0
130.0,289.047763,60.810723,92.0,5.4,2589.0
120.0,609.016565,51.328145,127.0,7.2,5797.0
110.0,228.738393,46.834704,114.0,5.2,1712.0
120.0,415.484914,62.641286,123.0,5.9,2341.0
120.0,259.175788,33.616115,106.0,5.2,914.0
130.0,403.170142,68.889395,124.0,6.3,5080.0
120.0,169.956806,27.990284,78.0,5.4,613.0
115.0,286.1407,67.33767,109.0,6.4,3439.0
105.0,115.772733,27.835436,119.0,6.3,1570.0
120.0,242.688965,66.757869,102.0,5.7,2342.0
120.0,93.945766,17.060695,135.0,5.7,354.0
120.0,48.668907,11.137655,121.0,4.9,223.0
117.0,261.930431,44.906918,109.0,5.9,1547.0
120.0,286.168572,67.698004,124.0,6.4,4800.0
113.0,850.0,44.108427,140.0,7.1,4116.0
120.0,649.398328,43.987061,142.0,6.4,3992.0
115.0,562.816256,106.815545,92.0,7.5,5996.0
120.0,415.440673,15.953444,126.0,6.3,4053.0
115.0,924.317558,54.035265,136.0,6.3,4432.0
135.0,585.178928,64.183321,98.0,6.8,2399.0
97.2504,132.9,20.344364,116.0,5.0,471.0
115.0,77.628265,18.714197,134.0,5.8,341.0
115.0,164.602163,60.467984,114.0,6.0,1523.0
125.0,477.2,143.350376,101.0,5.8,2636.0
105.0,716.392705,110.153618,91.0,7.3,5751.0
116.0,178.12776,16.90444,108.0,5.7,428.0
135.0,245.623848,39.873791,112.0,5.8,963.0
120.0,167.977596,38.126095,100.0,4.4,2278.0
110.0,574.480841,48.780039,108.0,6.3,2862.0
110.0,470.490832,100.412364,114.0,6.0,2968.0
110.0,333.011068,42.887121,119.0,6.0,925.0
110.0,215.294342,23.657284,165.0,6.8,1099.0
110.0,362.74428,76.840712,125.0,6.4,2124.0
110.0,478.20752,44.635452,120.0,6.5,2965.0
110.0,295.238201,103.718387,119.0,6.2,3829.0
116.0,102.0,45.616098,170.0,7.0,1489.0
112.0,237.382724,22.845143,85.0,4.9,621.0
120.0,227.817248,31.703608,119.0,5.5,1251.0
110.0,337.580051,71.510596,102.0,6.1,2397.0
110.0,563.749323,36.65422,103.0,5.5,1179.0
110.0,103.951461,19.625972,76.0,5.7,389.0
110.0,179.246868,86.105615,121.0,5.9,1998.0
110.0,299.268508,37.195046,127.0,6.6,2692.0
105.0,347.434178,32.473628,105.0,5.5,695.0
160.0,164.508066,23.336875,121.0,4.1,434.0
110.0,125.537191,45.94834,114.0,6.6,2303.0
110.0,383.531464,48.93337,128.0,6.4,2089.0
93.0,871.368364,138.049577,178.0,8.0,8705.0
110.0,72.178895,22.643776,120.0,5.7,672.0
107.0,87.713825,18.866672,157.0,6.7,447.0
0.0,0.0,18.251129,82.0,4.9,366.0
120.0,347.234916,95.914473,115.0,6.7,3793.0
130.0,211.643158,44.490453,144.0,6.6,1157.0
133.0,300.135367,30.475297,84.0,5.8,959.0
105.0,267.045765,62.479574,97.0,6.7,1247.0
108.0,630.16189,167.93287,141.0,7.6,7268.0
126.0,162.949164,37.68056,136.0,6.5,1770.0
90.0,10.372291,1.004579,104.0,3.7,16.0
90.0,237.202299,52.995628,118.0,6.1,1485.0
103.0,457.640427,95.301296,155.0,7.9,5439.0
102.0,358.372926,65.948959,145.0,7.1,2608.0
100.0,876.688482,132.397737,161.0,7.4,5815.0
150.0,599.04596,88.935165,144.0,7.3,3855.0
100.0,362.21174,51.188633,119.0,5.6,1243.0
100.0,520.0,101.74155,137.0,7.7,4185.0
80.0,214.10462,33.691694,140.0,6.5,1344.0
100.0,266.465037,42.361215,157.0,7.4,1502.0
115.0,378.882411,38.729418,141.0,6.8,1116.0
100.0,150.166126,40.597856,106.0,6.2,954.0
100.0,310.650585,32.389353,98.0,5.4,1060.0
100.0,170.432927,24.399642,107.0,6.1,1383.0
100.0,242.295562,24.507987,115.0,5.6,543.0
100.0,425.368238,82.121691,165.0,7.8,10099.0
100.0,100.138851,46.727941,91.0,6.8,1129.0
100.0,169.327687,51.113717,78.0,7.2,1490.0
100.0,312.573423,53.732892,103.0,6.1,2896.0
100.0,347.451894,58.849256,131.0,6.4,1926.0
100.0,249.288105,30.863434,104.0,4.9,967.0
100.0,100.086793,31.586215,101.0,6.4,572.0
100.0,268.426634,36.711378,102.0,6.4,1121.0
100.0,278.731369,41.426678,103.0,6.0,1699.0
100.0,211.989043,20.652943,121.0,5.5,482.0
100.0,170.877916,52.792678,143.0,7.3,2281.0
100.0,392.000694,95.007934,180.0,7.9,6571.0
100.0,336.529144,48.205606,121.0,5.2,1498.0
105.0,121.214377,58.782359,129.0,6.7,1560.0
102.0,130.482868,73.872343,172.0,6.6,2977.0
80.0,140.07339,37.321848,97.0,6.5,703.0
100.0,82.102379,32.271938,104.0,4.2,808.0
100.0,243.4,76.842247,99.0,5.6,1680.0
140.0,109.578115,38.924136,95.0,7.2,948.0
100.0,68.688831,19.38841,102.0,5.3,381.0
90.0,206.172544,61.025639,127.0,6.1,1795.0
105.0,133.718711,33.507289,114.0,5.5,783.0
84.0,0.0,17.815595,94.0,3.6,338.0
100.0,93.820758,50.767332,122.0,6.5,1276.0
100.0,7.103973,12.092241,95.0,4.4,142.0
100.0,94.882889,30.254021,115.0,6.4,717.0
99.0,246.233113,34.308098,88.0,6.5,604.0
10.0,13.83513,3.091077,110.0,7.1,73.0
98.0,433.013274,41.862983,130.0,6.0,2206.0
100.0,193.772504,46.160048,167.0,7.1,1910.0
94.0,95.311434,12.516546,145.0,7.1,187.0
85.0,149.044513,23.230851,85.0,5.9,601.0
90.0,102.0,19.224754,93.0,5.4,334.0
92.0,172.989651,44.455166,144.0,7.2,1811.0
0.0,104.907746,16.460356,85.0,5.6,578.0
90.0,263.92018,109.528572,126.0,7.3,3885.0
100.0,288.347692,18.325897,146.0,5.4,426.0
95.0,76.432727,37.054554,89.0,7.0,858.0
95.0,877.244782,65.229868,88.0,6.2,2672.0
95.0,543.514353,101.187052,105.0,6.7,2374.0
65.0,93.525586,29.257137,136.0,6.6,1065.0
94.0,940.335536,85.688789,100.0,7.6,6122.0
94.0,1118.888979,123.630332,201.0,8.1,8064.0
79.0,926.2874,106.914973,179.0,8.0,7487.0
95.0,114.178613,63.628459,102.0,5.2,957.0
115.0,274.70334,41.498631,100.0,5.7,2192.0
100.0,103.039258,58.991388,119.0,5.9,2295.0
93.0,368.780809,1.859364,92.0,5.7,2077.0
93.0,482.860185,138.433168,105.0,7.0,4347.0
90.0,162.839667,21.436682,95.0,6.3,572.0
92.0,304.654182,65.402595,98.0,5.2,3493.0
145.0,25.819961,10.660441,137.0,5.8,106.0
92.0,631.442092,77.817571,115.0,7.4,5152.0
98.0,10.017322,7.029308,119.0,5.7,136.0
95.0,226.497209,61.121717,118.0,6.0,2010.0
90.0,589.390539,104.121555,98.0,6.9,4412.0
90.0,497.366869,73.575118,92.0,7.3,3806.0
100.0,167.805466,37.698465,98.0,6.3,1165.0
90.0,347.325802,35.814765,90.0,6.4,1054.0
100.0,155.464351,15.835672,130.0,6.3,488.0
100.0,242.988466,46.781182,90.0,6.5,1747.0
90.0,886.686817,69.457898,94.0,6.5,2271.0
90.0,188.133322,43.348022,114.0,7.0,3144.0
92.0,264.105545,40.20395,98.0,5.6,1232.0
90.0,289.847354,63.429157,151.0,7.9,4339.0
90.0,304.320254,67.427755,88.0,7.6,2008.0
92.0,188.072649,43.192048,107.0,6.5,1667.0
90.0,232.61743,47.651083,158.0,7.2,2434.0
90.0,366.101666,51.881077,128.0,6.9,2066.0
90.0,524.028679,57.834787,128.0,7.0,5766.0
100.0,94.061311,29.608322,125.0,5.3,621.0
120.0,186.053725,51.548589,95.0,6.7,1224.0
0.0,233.755553,27.867368,92.0,5.8,428.0
75.0,200.276,38.832842,121.0,6.7,1173.0
90.0,201.596308,40.597344,113.0,5.5,1048.0
88.0,243.637091,140.849495,105.0,5.6,2513.0
100.0,235.926552,34.035114,146.0,6.8,1974.0
90.0,182.290266,16.302378,99.0,5.2,466.0
90.0,171.120329,55.249434,150.0,7.2,1308.0
95.0,190.213455,28.200874,112.0,5.6,634.0
80.0,162.944923,18.69984,128.0,6.2,392.0
90.0,174.578751,40.262261,106.0,5.9,1648.0
95.0,156.505388,56.811056,117.0,5.5,1418.0
90.0,334.901337,51.535701,129.0,6.7,3235.0
68.0,118.063304,20.913852,116.0,5.9,302.0
92.0,143.04956,27.166757,126.0,6.8,579.0
90.0,60.874615,16.058284,114.0,5.7,369.0
90.0,484.63576,46.200042,96.0,6.5,2166.0
100.0,93.7,24.939295,131.0,6.9,963.0
90.0,0.0,19.836124,104.0,5.2,376.0
90.0,140.807547,15.350451,107.0,5.9,290.0
100.0,35.168966,15.625949,138.0,6.1,264.0
20.0,79.114085,31.802807,129.0,6.6,650.0
88.0,108.539911,24.100863,144.0,7.3,616.0
90.0,16.178959,3.593349,110.0,5.4,50.0
87.0,148.336445,14.824166,141.0,6.7,216.0
92.0,494.471524,32.079995,113.0,6.1,950.0
90.0,429.632142,57.739713,143.0,7.5,3218.0
100.0,384.335608,37.272385,108.0,5.9,1410.0
75.0,288.500217,53.213931,108.0,7.2,2825.0
85.0,315.156409,36.38795,124.0,6.2,840.0
85.0,450.71715,60.929352,116.0,7.2,3783.0
75.0,132.274484,36.605246,110.0,5.6,924.0
85.0,358.375603,56.257411,91.0,6.8,2566.0
85.0,340.487652,29.21998,107.0,6.6,1449.0
85.0,208.076205,34.773106,115.0,6.3,1345.0
85.0,183.611771,9.895061,100.0,5.1,313.0
75.0,152.930623,36.743324,104.0,5.8,932.0
85.0,194.1687,44.967453,136.0,6.7,1225.0
90.0,250.649836,41.207568,132.0,6.7,1240.0
85.0,219.103655,16.479851,121.0,6.2,360.0
85.0,311.312624,42.069993,122.0,6.5,1999.0
85.0,197.309027,26.61951,83.0,6.1,656.0
85.0,288.747895,80.316463,139.0,6.9,4663.0
68.0,96.97627,41.273567,131.0,7.2,999.0
85.0,80.916492,24.107835,104.0,6.4,514.0
85.0,137.298489,32.044191,130.0,6.1,712.0
85.0,162.242962,16.595874,145.0,7.3,652.0
85.0,158.468292,8.282876,104.0,6.1,1705.0
0.0,0.0,19.83683,97.0,6.7,333.0
90.0,142.9401,36.069611,178.0,6.9,1147.0
85.0,78.382433,18.827753,108.0,5.5,427.0
0.0,37.823676,5.159407,123.0,7.3,85.0
85.0,183.018522,48.126297,106.0,5.5,1114.0
60.0,47.664559,38.885195,112.0,7.2,2126.0
60.0,74.208267,29.211255,136.0,5.4,516.0
84.0,123.307945,17.783361,106.0,4.7,332.0
84.0,275.650703,31.435539,88.0,5.4,820.0
50.0,41.037742,57.673932,95.0,6.6,1940.0
82.5,237.681299,41.176631,107.0,6.0,2104.0
8.0,21.028755,13.661289,120.0,6.7,226.0
85.0,112.483764,11.77398,82.0,4.9,119.0
85.0,222.231186,21.218,88.0,5.9,1799.0
85.0,160.388063,58.57976,120.0,6.5,1527.0
65.0,84.785914,51.970905,157.0,7.3,2023.0
82.0,96.085477,18.447479,123.0,5.7,595.0
80.0,484.572835,109.684788,101.0,6.4,3012.0
80.0,274.470394,77.580661,103.0,6.0,2926.0
80.0,457.696359,75.290998,110.0,6.7,2631.0
75.0,691.210692,68.550698,142.0,6.9,9455.0
80.0,254.455986,58.040149,102.0,6.2,3739.0
80.0,280.0,59.113174,126.0,6.6,1673.0
80.0,343.397247,36.32705,83.0,6.3,1074.0
80.0,145.771527,55.659988,85.0,7.1,1314.0
85.0,144.0,14.132583,97.0,5.8,288.0
75.0,140.464664,34.070054,120.0,5.9,855.0
84.0,0.0,44.34333,116.0,6.4,1526.0
82.0,190.320568,26.065735,113.0,6.2,785.0
75.0,342.695435,23.473004,87.0,5.4,484.0
80.0,246.984278,45.589568,100.0,5.8,1155.0
80.0,230.685453,23.496054,110.0,6.0,1051.0
80.0,266.728738,16.939441,128.0,6.3,410.0
80.0,294.804195,81.914696,138.0,7.8,6336.0
80.0,163.733697,19.500893,88.0,5.3,331.0
75.0,260.696994,29.558157,91.0,6.0,1333.0
80.0,245.676146,46.075037,138.0,6.8,1583.0
80.0,212.874442,23.531721,99.0,5.9,901.0
80.0,181.001478,49.078546,117.0,7.3,1077.0
80.0,214.918407,37.02665,117.0,6.3,1543.0
75.0,224.012234,45.154631,115.0,6.5,1270.0
80.0,178.066569,46.887983,118.0,6.3,1018.0
79.0,173.013509,24.598479,154.0,6.7,533.0
80.0,157.107755,32.363538,118.0,6.6,2164.0
80.0,177.977226,11.50396,93.0,5.3,695.0
80.0,91.188905,19.375768,113.0,5.2,369.0
80.0,250.2,36.125715,88.0,6.5,1288.0
0.0,0.0,25.450534,93.0,5.6,550.0
80.0,233.093859,41.890722,104.0,5.2,1043.0
75.0,136.982834,22.179658,135.0,6.5,431.0
68.0,211.817906,139.575085,135.0,7.4,3946.0
70.0,164.0,18.264635,98.0,5.6,332.0
80.0,201.584141,11.187696,80.0,5.2,220.0
80.0,122.563539,41.670544,83.0,7.4,831.0
80.0,169.852759,27.46264,102.0,5.3,498.0
80.0,136.159423,17.455024,130.0,5.0,388.0
80.0,96.105964,21.394281,129.0,6.2,393.0
0.0,0.0,0.605645,117.0,8.0,1.0
80.0,473.226958,61.692197,89.0,6.7,1497.0
80.0,90.87457,14.530946,74.0,7.0,292.0
80.0,123.729176,25.978555,96.0,5.8,631.0
90.0,0.0,6.643778,114.0,5.9,208.0
102.0,147.080413,36.788745,99.0,6.1,932.0
75.0,142.400065,31.054334,129.0,5.9,893.0
85.0,71.485043,21.891078,113.0,6.8,577.0
85.0,0.0,18.335992,90.0,5.2,438.0
88.0,105.316267,40.138009,118.0,5.6,818.0
70.0,101.371017,44.090535,106.0,6.1,1509.0
0.0,0.0,3.300061,81.0,6.4,47.0
0.0,43.312294,20.632673,117.0,6.7,349.0
80.0,122.444772,36.664991,89.0,5.9,1195.0
80.0,34.566746,18.26121,145.0,6.9,189.0
80.0,159.212469,16.681269,115.0,5.8,378.0
80.0,126.546518,10.088006,87.0,5.2,133.0
44.0,21.4,7.89147,118.0,3.0,255.0
80.0,68.514844,16.715631,90.0,5.6,297.0
80.0,53.825515,9.357734,112.0,5.1,165.0
80.0,19.480739,11.22268,116.0,5.4,318.0
80.0,17.626234,14.564667,177.0,6.1,299.0
90.0,69.13186,11.356079,92.0,5.2,305.0
90.0,146.93691,52.612025,106.0,5.7,1316.0
80.0,33.463969,13.800656,106.0,5.4,267.0
86.0,107.944236,27.097932,94.0,6.0,639.0
0.0,19.406406,10.706613,84.0,7.3,111.0
80.0,5.98964,7.342892,110.0,4.8,111.0
130.0,117.831631,50.561849,105.0,5.2,1267.0
8.0,0.0,0.719996,89.0,5.3,9.0
60.0,313.542341,59.248437,135.0,7.7,3009.0
45.0,788.241776,90.457886,89.0,8.0,5376.0
79.0,355.69276,40.723459,94.0,5.8,1030.0
78.0,248.384621,41.247402,95.0,6.4,915.0
78.0,209.196298,10.083905,124.0,6.7,1115.0
100.0,108.10345,16.759252,136.0,6.5,318.0
79.0,149.673788,22.132418,91.0,4.1,604.0
76.0,236.350661,10.520961,107.0,6.2,2028.0
64.0,97.57125,35.384423,92.0,7.6,756.0
80.0,15.071514,15.673154,99.0,5.7,359.0
76.0,35.13482,8.981427,88.0,3.9,87.0
75.0,875.958308,31.482872,87.0,5.9,3462.0
78.0,179.265204,47.436675,110.0,5.7,1155.0
76.0,970.761885,136.886704,98.0,7.0,4637.0
75.0,816.969268,60.442593,145.0,6.7,3260.0
73.0,229.074524,2.502487,129.0,6.2,2487.0
75.0,532.680671,48.110909,86.0,6.6,3237.0
76.0,69.959751,35.387874,109.0,7.4,2071.0
75.0,296.339527,4.66891,104.0,6.8,4097.0
75.0,258.270008,73.82289,110.0,6.4,2528.0
75.0,335.062621,51.469576,136.0,6.9,1456.0
80.0,660.94078,85.115058,91.0,6.5,2951.0
75.0,196.482882,61.437586,99.0,6.6,2105.0
50.0,90.450008,31.160542,117.0,6.5,709.0
80.0,78.000586,15.761384,114.0,4.7,183.0
75.0,0.0,17.561955,78.0,4.3,318.0
75.0,117.698894,71.124686,115.0,7.3,5487.0
80.0,271.430189,38.864027,102.0,6.0,1705.0
60.0,219.417255,57.753914,128.0,7.0,1910.0
35.0,73.03446,13.25753,100.0,5.7,202.0
